class	cid	kegg	name	cas	formula	mass	mPlusH	mPlusHCCS	mPlusHRsd	mPlusNa	mPlusNaCCS	mPlusNaRsd	mMinusH	mMinusHCCS	mMinusHRsd	mPlusDot	mPlusDotCCS	mPlusDotRsd
Alcohol	12988		3-Methyl-3-Buten-1-ol	763-32-6	C5H10O	86.073161	87.080437	N/A	N/A	109.062379	N/A	N/A	85.065885	N/A	N/A			
Alcohol	123134372		4-Hydroxy-3-Methoxyphenylglycol Sulfate Potassium Salt	71324-20-4	C9H12KO7S	301.98626	302.9935316	180.46667	0.127968	324.9754736	N/A	N/A	300.9789796	157	0.168519			
Alcohol	1136	C04294	4-Methyl-5-Thiazolethanol	137-00-8	C6H9NOS	143.04824	144.055516	144.56667	0.222358	166.037458	N/A	N/A	142.040964	N/A	N/A			
Alcohol	65280	C13061	N-Acetyl Sulfamethoxazole	21312-10-7	C12H13N3O4S	295.06267	296.0699498	170.53333	0.033856	318.0518918	177.5666667	0.657566	294.0553978	171.133	0.033737			
Alcohol	1005	C00074	Phospho(enol)Pyruvic Acid Monopotassium Salt	138-08-9	C3H5O6P	205.93826	206.9455354	N/A	N/A	228.9274774	N/A	N/A	204.9309834	163.4	0.841354			
Alcohol	69646		rac 4-hydroxy-3-methoxyphenylethylene glycol	71324-20-4	C9H12O4	184.07355	185.080828	N/A	N/A	207.06277	158.2	0.063211	183.066276	N/A	N/A			
Alcohol	753	C00116	Glycerol	56-81-5	C3H8O3	92.047342	93.0546178	136.43333	0.476893	115.0365598	N/A	N/A	91.0400658	N/A	N/A			
Alcohol	16219444		sn-Glycerol 3-phosphate bis(cyclohexylammonium) salt	29849-82-9	C3H9O6P	172.01367	173.0209504	178.53333	0.08556	195.0028924	141.4	N/A	171.0063984	130.1	0.076864			
Alcohol	119411		Tris(2-carboxyethyl)Phosphine Hydrochloride	5961-85-3	C9H15O6P	251.06845	252.0757226	N/A	N/A	274.0576646	N/A	N/A	250.0611706	148.833	0.215983			
Alcohol	827	D00061	Xylitol	87-99-0	C5H12O5	152.06847	153.0757462	N/A	N/A	175.0576882	140.0333333	0.337478	151.0611942	127.233	0.446914			
Amino Acids	5257127	C00037	Glycine	56-40-6	C2H5NO2	75.032027	76.039303	N/A	N/A	98.021245	N/A	N/A	74.024751	N/A	N/A			
Amino Acids	5950	C00041	L-Alanine	56-41-7	C3H7NO2	89.092556	90.099832	N/A	N/A	112.081774	N/A	N/A	88.08528	N/A	N/A			
Amino Acids	673	C01026	"N,N-Dimethylglycine"	1118-68-9	C4H9NO2	103.12034	104.127612	123.23333	0.123954	126.109554	44.26666667	173.2051	102.11306	N/A	N/A			
Amino Acids	617	C00716	L-Serine	56-45-1	C3H7NO3	105.04193	106.0492032	N/A	N/A	128.0311452	N/A	N/A	104.0346512	135.933	0.23648			
