class	cid	kegg	name	cas	formula	mass	mPlusH	mPlusHCCS	mPlusHRsd	mPlusNa	mPlusNaCCS	mPlusNaRsd	mMinusH	mMinusHCCS	mMinusHRsd	mPlusDot	mPlusDotCCS	mPlusDotRsd
Amino Acids	145742	C00148	L-Proline	147-85-3	C5H9NO2	115.06333	116.0706014	129.16667	0.194834	138.0525434	132.9333333	0.347453	114.0560494	132.8	0.271502			
Amino Acids	6287	C00183	L-Valine	72-18-4	C5H11NO2	117.07897	118.0862506	133.56667	0.566899	140.0681926	143.3	0.18463	116.0716986	132.167	0.218418			
Amino Acids	6288	C00188	L-Threonine	72-19-5	C4H9NO3	119.05824	120.0655164	N/A	N/A	142.0474584	N/A	N/A	118.0509644	140.6	0.284495			
Amino Acids	5862	C00097	L-Cysteine	52-90-4	C3H7NO2S	121.01975	122.0270242	N/A	N/A	144.0089662	143.4	0.303968	120.0124722	N/A	N/A			
Amino Acids	98681		Propionyl Glycine	21709-90-0	C5H9NO3	131.05824	132.0655164	N/A	N/A	154.0474584	N/A	N/A	130.0509644	N/A	N/A			
Amino Acids	440014	C03440	Cis-4-hydroxy-L-proline	618-27-9	C5H9NO3	131.05824	132.0655164	N/A	N/A	154.0474584	N/A	N/A	130.0509644	129.3	0.67423			
Amino Acids	6306	C00407	L-Allo-Isoleucine	443-79-8	C6H13NO2	131.09462	132.1018998	N/A	N/A	154.0838418	N/A	N/A	130.0873478	133.733	0.086344			
Amino Acids	5255803		Leucine	61-90-5	C6H13NO2	131.09396	132.1018998	138.9	0.249395	154.0837298	174.9	0.990309	130.0860198	136.333	0.112043			
Amino Acids	5255803		D-Leucine	328-38-1	C6H13NO2	131.09462	132.1018998	N/A	N/A	154.0838418	N/A	N/A	130.0873478	135.033	0.085512			
Amino Acids	5255803		L-Leucine	61-90-5	C6H13NO2	131.09462	132.1018998	138.9	0.249395	154.0838418	N/A	N/A	130.0873478	137.967	0.775019			
Amino Acids	6306	C00407	Isoleucine	73-32-5	C6H13NO2	131.09462	132.1018998	136.96667	0.223051	154.0837298	96.03333333	86.60331	130.0860198	134.867	0.299663			
Amino Acids	6267	C00152	L-Asparagine	70-47-3	C4H8N2O3	132.05349	133.0607658	130.83333	0.392224	155.0427078	131.2333333	0.56168	131.0462138	126.433	0.881926			
Amino Acids	6262	C00077	L-Ornithine Monohydrochloride	70-26-8	C5H12N2O2	132.08987	133.0971492	129.1	0.942333	155.0790912	N/A	N/A	131.0825972	136.067	0.224526			
Amino Acids	44367445	C00049	L-Aspartic Acid	56-84-8	C4H7NO4	133.03751	134.0447822	N/A	N/A	156.0267242	N/A	N/A	132.0302302	121.267	0.912076			
Amino Acids	5961	C00064	Glutamine	56-85-9	C5H10N2O3	146.06914	147.076415	132.73333	0.189599	169.058357	137.3666667	0.921787	145.061863	131.4	0.076104			
Amino Acids	5962	C00047	L-Lysine	56-87-1	C6H14N2O2	146.10552	147.1127984	132.4	0.13082	169.0947404	N/A	N/A	145.0982464	141	0.79925			
Amino Acids			L-Glutamic Acid Monosodium Salt Monohydrate	6106-04-3	C5H10NNaO5	147.05316	148.0604314	134.86667	0.113262	170.0423734	N/A	N/A	146.0458794	126.6	0.236967			
Amino Acids	33032	C00025	L-Glutamic Acid	56-86-0	C5H9NO4	147.05316	148.0604314	133.86667	0.282814	170.0423734	142.5	0.185667	146.0458794	127.033	0.999872			
Amino Acids	5255805	C01733	L-Methionine	63-68-3	C5H11NO2S	149.05105	150.0583226	136.36667	0.042338	172.0402646	N/A	N/A	148.0437706	151.233	0.49629			
Amino Acids	6274	C00135	L-Histidine	71-00-1	C6H9N3O2	155.06936	156.076634	132.8	0.150602	178.058576	136.2666667	0.084738	154.062082	130.767	0.088302			
Amino Acids	57397115	C02057	L-Phenylalanine	63-91-2	C9H11NO2	165.07897	166.0862506	144.46667	0.144093	188.0681926	141.1333333	0.3636	164.0716986	145.733	0.24098			
Amino Acids	28782	C00062	L-Arginine	74-79-3	C6H14N4O2	174.11167	175.1189464	137.13333	0.042101	197.1008884	N/A	N/A	173.1043944	131.533	0.506208			
Amino Acids	6992098	C00327	L-Citrulline	372-75-8	C6H13N3O3	175.09569	176.1029628	N/A	N/A	198.0849048	N/A	N/A	174.179396	138.767	0.300024			
Amino Acids	6057	C00082	L-Tyrosine	60-18-4	C9H11NO3	181.07389	182.0811656	147.7	0.13541	204.0631076	N/A	N/A	180.0666136	147.467	0.207169			
Amino Acids	3862		L-Mimosine from Koa Hoale Seeds	500-44-7	C8H10N2O4	198.06405	199.07133	142.7	0.350385	221.053272	N/A	N/A	197.056778	N/A	N/A			
Amino Acids	1148	C00806	L-Tryptophan	73-22-3	C11H12N2O2	204.08987	205.0971492	153.4	0.065189	227.0790912	N/A	N/A	203.0825972	157.733	0.585647			
Amino Acids	1608346		N-(3-Phenylpropionyl)Glycine	56613-60-6	C11H13NO3	207.08954	208.0968148	148.66667	0.140022	230.0787568	149.8	0.734312	206.0822628	159.9	0.921258			
Amino Acids	5359254	C02305	Phosphocreatine Disodium Salt Hydrate	67-07-2	C4H10N3O5P	211.03581	212.043082	N/A	N/A	234.025024	N/A	N/A	210.02853	N/A	N/A			
Amino Acids	4083111	C00542	L-Cystathionine	535-34-2	C7H14N2O4S	222.06742	223.0747004	N/A	N/A	245.0566424	N/A	N/A	221.0601484	143.633	0.106349			
Amino Acids	92258	C04148	Phenylacetyl L-Glutamine	28047-15-6	C13H16N2O4	264.111	265.1182776	160.06667	0.13005	287.1002196	170.3333333	0.147746	263.1037256	168.267	0.224996			
Antioxidants	1175	C00366	Uric Acid	69-93-2	C5H4N4O3	168.02834	169.0356154	145.56667	0.688114	191.0175574	151.2	0.349967	167.0210634	128.067	0.090164			
Antioxidants	54670067	C00072	Vitamin C	50-81-7	C6H8O6	176.03209	177.0393628	143.3	2.966422	199.0213048	145.3333333	0.653971	175.0248108	129.967	0.088846			
Antioxidants	124886	C00051	Glutathione	70-18-8	C10H17N3O6S	307.0838	308.0910782	N/A	N/A	330.0730202	167.3333333	0.091286	306.0765262	163.367	0.127423			
Bile Acids	10133	C02528	Chenodeoxycholic Acid	474-25-9	C24H40O4	392.29198	393.29992	N/A	N/A	415.28175	N/A	N/A	391.28404	N/A	N/A			
Bile Acids	44135469		Cholic Acid	81-25-4	C24H40O5	408.2869	409.294835	143	86.60279	431.276665	N/A	N/A	407.278955	N/A	N/A			
Bile Acids	71315440		Deoxycholic Acid	83-44-3	C24H40O4	392.29198	393.29992	140.3	173.2051	415.28175	201.0333333	0.028719	391.28404	136.833	86.60292			
Bile Acids	2807129		Glycochenodeoxycholic Acid Sodium Salt	16564-43-5	C26H42NNaO5	449.31399	450.3219314	65.166667	173.2051	472.3037614	209.1333333	0.199075	448.3060514	69.8667	173.2051			
Bile Acids	24856164		Glycocholic Acid Hydrate	1192657-83-2	C26H45NO7	465.30836	466.3162978	N/A	N/A	488.2981278	138.1333333	86.60281	464.3004178	N/A	N/A			
Bile Acids	23688465		Glycodeoxycholic Acid Sodium Salt	16409-34-0	C26H42NNaO5	471.29539	472.3033282	N/A	N/A	494.2851582	N/A	N/A	470.2874482	N/A	N/A			
Bile Acids	23721957		Glycolithocholic Acid	24404-83-9	C26H42NNaO4	433.31853	434.3264678	189.1	0.091594	456.3082978	139.1333333	86.60254	432.3105878	N/A	N/A			
Bile Acids	387316	C05465	Taurochenodeoxycholic Acid Sodium Salt	516-35-8	C26H45NO6S	521.27802	522.2859644	152.93333	86.60316	544.2677944	74.3	173.2051	520.2700844	N/A	N/A			
Bile Acids	23687511		Taurocholic Acid Sodium Salt Hydrate	345909-26-4	C26H46NNaO8S	537.27294	538.2808794	N/A	N/A	560.2627094	N/A	N/A	536.2649994	N/A	N/A			
Bile Acids	23702150		Taurodeoxycholic Acid Sodium Salt Hydrate	207737-97-1	C26H46NNaO7S	521.27802	522.2859644	144.83333	86.60255	544.2677944	N/A	N/A	520.2700844	N/A	N/A			
Bile Acids	31401	C07880	Ursodeoxycholic Acid	128-13-2	C24H40O4	392.29198	393.29992	221.46667	0.187989	415.28175	N/A	N/A	391.28404	67.0333	173.2051			
Bile Acids	4388803		Sulfolithocholic Acid	34669-57-3	C24H40O6S	456.63734	457.645276	N/A	N/A	479.627106	N/A	N/A	455.629396	N/A	N/A			
Bile Acids	2807129		Glycochenodeoxycholic Acid Sodium Salt	16564-43-5	C26H42NNaO5	471.29539	472.3033282	208.93333	0.516231	494.2851582	141.5333333	86.6028	470.2874482	156.867	86.60339			
Glycans	439184	C00199	Ribulose-5-phosphate	4151-19-3	C5H11O8P	230.01849	231.0264296	N/A	N/A	253.0082596	152.2666667	0.211113	229.0105496	140.267	0.205805			
Glycans			Glucose 6-phosphate	299-31-0	N/A	260.02905	261.0369938	N/A	N/A	283.0188238	161.7333333	0.397512	259.0211138	148.4	0.067385			
Glycans	107526		Glucose	50-99-7	C6H12O6	180.06272	181.0706612	N/A	N/A	203.0524912	150.8666667	0.153076	179.0547812	124.167	0.380603			
Glycans	65246		Fructose-1-phosphate	15978-08-2	C6H13O9P	260.02905	261.0369938	161.33333	4.741769	283.0188238	158.8333333	0.072699	259.0211138	146.767	0.141835			
Glycans	5984	C10906	Fructose	57-48-7	C6H12O6	180.06272	181.0706612	N/A	N/A	203.0524912	145.4333333	0.221033	179.0547812	125	0.08			
Glycans	45042176		Fructose 6-phosphate	643-13-0	C6H6ClNO2	260.02905	261.0369938	N/A	N/A	283.0188238	N/A	N/A	259.0211138	147.233	0.397971			
Glycans	77982		Ribose 5-phosphate	4300-28-1	C5H11O8P	230.01849	231.0264296	166.83333	0.425251	253.0082596	N/A	N/A	229.0105496	141.4	0.49505			
Glycans	65533	C00103	Glucose-1-phosphate	59-56-3	C6H13O9P	260.02905	261.0369938	109.6	86.60259	283.0188238	162.1	9.655865	259.0211138	150.967	0.191218			
Glycans	66308		D-(-)-Arabinose	10323-20-3	C5H10O5	150.05282	151.060097	N/A	N/A	173.042039	130.5666667	0.58496	149.045545	N/A	N/A			
Glycans	66308		DL-Arabinose	147-81-9	C5H10O5	150.05282	151.060097	N/A	N/A	173.042039	142.1	N/A	149.045545	N/A	N/A			
Glycans	25245970		L-Arabinose	87-72-9	C5H10O5	150.05282	151.060097	N/A	N/A	173.042039	141.1	N/A	149.045545	N/A	N/A			
Glycans	5311110		D-(-)-Ribose	50-69-1	C5H10O5	150.05282	151.060097	N/A	N/A	173.042039	136.8666667	0.183873	149.045545	N/A	N/A			
Glycans	5311110		Ribose	50-69-1	C5H10O5	150.05282	151.060097	N/A	N/A	173.042039	135.3	0.2	149.045545	N/A	N/A			
Glycans	644111		L-Ribulose	2042-27-5	C5H10O5	150.05282	151.060097	N/A	N/A	173.042039	132.1	0.672838	149.045545	N/A	N/A			
Glycans	5289590		D-Xylulose	551-84-8	C5H10O5	150.05282	151.060097	N/A	N/A	173.042039	141	0.309142	149.045545	N/A	N/A			
Glycans	644160		D-(+)-Xylose	58-86-6	C5H10O5	150.05282	151.060097	N/A	N/A	173.042039	131.3666667	0.158462	149.045545	69.0667	173.2051			
Glycans	644160		D-Xylose	58-86-6	C5H10O5	150.05282	151.060097	N/A	N/A	173.042039	135	0.52915	149.045545	N/A	N/A			
Glycans	107526		D-(+)-Glucose	50-99-7	C6H12O6	180.06339	181.0706612	N/A	N/A	203.0526032	151.7	1.663735	179.0561092	N/A	N/A			
Glycans	12285878		D-Glucose-1-13C	40762-22-9	C6H12O6	181.06339	182.0706612	N/A	N/A	204.0526032	N/A	N/A	180.0561092	N/A	N/A			
Glycans	86278404		D-Galactose	59-23-4	C6H12O6	180.06339	181.0706612	N/A	N/A	203.0526032	141.6333333	0.057735	179.0561092	N/A	N/A			
Glycans	107526		D-Glucose	50-99-7	C6H12O6	180.06339	181.0706612	N/A	N/A	203.0526032	146.5333333	0.208167	179.0561092	N/A	N/A			
Glycans	5984	C10906	D-Fructose	57-48-7	C6H12O6	180.06339	181.0706612	N/A	N/A	203.0526032	141.1666667	0.11547	179.0561092	133.75	3.464823			
Glycans	46780441		D-Mannose	3458-28-4	C6H12O6	180.06339	181.0706612	N/A	N/A	203.0526032	141.0666667	0.11547	179.0561092	N/A	N/A			
Glycans	3086538		D-Glucose 13C6	110187-42-3	C6H12O6	186.06339	187.0706612	N/A	N/A	209.0526032	152.3	0.822716	185.0561092	N/A	N/A			
Glycans	71309492		D-Glucose-6-13C	106032-62-6	C6H12O6	186.06339	187.0706612	N/A	N/A	209.0526032	N/A	N/A	185.0561092	N/A	N/A			
Glycans	122357	C00279	D-Erythrose 4-Phosphate Sodium Salt	585-18-2	C4H9O7P	200.00859	201.0158654	N/A	N/A	222.9978074	153.0666667	0.76561	199.0013134	148.367	0.496817			
Glycans	5459879		D-Sedoheptulose	3019-74-7	C7H14O7	210.07395	211.0812254	N/A	N/A	233.0631674	151.1333333	0.038201	209.0666734	149.633	1.088598			
Glycans	77982		D-Ribose 5-Phosphate Disodium Salt Dihydrate	4300-28-1	C5H11O8P	230.01915	231.0264296	N/A	N/A	253.0083716	154.9666667	0.13433	229.0118776	140.9	0.070972			
Glycans	439184	C00199	D-Ribulose 5-Phosphate Disodium Salt	551-85-9	C5H11O8P	230.01915	231.0264296	N/A	N/A	253.0083716	152.4333333	0.075751	229.0118776	140.1	0.188847			
Glycans	100829		D-Xylulose 5-Phosphate Sodium Salt	60802-29-1	C10H3F5N2O	230.01915	231.0264296	N/A	N/A	253.0083716	N/A	N/A	229.0118776	N/A	N/A			
Glycans	121988		D-Glucosamine 6 -Phosphate	3616-42-0	C6H14NO8P	259.0457	260.0529774	155.73333	0.161597	282.0349194	160.5	0.271582	258.0384254	150	N/A			
Glycans	439958	C03251	D-Glucose 6 Phosphate Sodium Salt	56-73-5	C6H13O9P	260.02972	261.0369938	N/A	N/A	283.0189358	161	0.062112	259.0224418	149.067	0.077462			
Glycans	439958	C03251	D-Glucose 6 Phosphate Solution	56-73-5	C6H13O9P	260.02972	261.0369938	N/A	N/A	283.0189358	160.6333333	0.259182	259.0224418	148.733	0.271725			
Glycans	439958	C03251	D-Glucose-6 Phosphate Disodium Salt Hydrate	56-73-5	C6H13O9P	260.02972	261.0369938	N/A	N/A	283.0189358	160.3666667	0.57603	259.0224418	148.3	0.178405			
Glycans	45042176		D-Fructose 6-Phosphate Disodium Salt Hydrate	643-13-0	C6H6ClNO2	260.02972	261.0369938	N/A	N/A	283.0189358	155.6	0.111314	259.0224418	146.4	0.775807			
Glycans	65533	C00103	?-D-Glucose 1-Phosphate Disodium Salt Hydrate	59-56-3	C6H13O9P	260.02972	261.0369938	N/A	N/A	283.0189358	160.9666667	0.094897	259.0224418	150.1	0.066622			
Glycans	439538	C01630	"1,4-D Xylobiose"	6860-47-5	C10H18O9	282.09508	283.1023538	N/A	N/A	305.0842958	167.2	0.517958	281.0878018	N/A	N/A			
Glycans	439538	C01630	Xylobiose	6860-47-5	C10H18O9	282.09508	283.1023582	N/A	N/A	305.0843002	162.9666667	0.057735	281.0878062	163.733	0.757188			
Glycans	270438		"Fructose 1,6 Bisphosphate"	38099-82-0	C22H18O6	340.02536	341.0333	N/A	N/A	363.01513	N/A	N/A	339.01742	156.667	0.572099			
Glycans	795540		6-Phosphogluconic Acid Trisodium Salt	53411-70-4	C16H16ClNO2	341.96981	342.977745	111.3	86.60255	364.959575	165.2666667	3.074233	340.961865	145.1	0.248487			
Glycans	57370084		Cellobiose	528-50-7	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	177.7	0.173205	341.1089302	166.967	0.378594			
Glycans	441422	C08240	B-Gentiobiose	554-91-6	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	180.0666667	0.128253	341.1089302	177.4	1.043983			
Glycans	439193	C00252	Isomaltose	499-40-1	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	N/A	N/A	341.1089302	179.8	0.14715			
Glycans	439193	C00252	Isomaltose	499-40-1	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	177.0666667	0.152753	341.1089302	N/A	N/A			
Glycans	6134	C01970	Lactose	63-42-3	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	N/A	N/A	341.1089302	N/A	N/A			
Glycans	45039641		Lactulose	4618-18-2	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	179.3333333	0.140331	341.1089302	N/A	N/A			
Glycans	11099946		2?-Mannobiose	15548-39-7	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	173.9	0.957063	341.1089302	N/A	N/A			
Glycans	6255	C01971	Maltose	69-79-4	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	178.2333333	0.152753	341.1089302	189.533	13.6515			
Glycans			D-(+)-Maltose Monohydrate	6363-53-2	C12H24O12	342.11621	343.1234822	N/A	N/A	365.1054242	183.5666667	0.443682	341.1089302	N/A	N/A			
Glycans	3872		Maltulose Monohydrate	17606-72-3	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	180.3	0.241758	341.1089302	179.633	0.486374			
Glycans	725576		Melibiose	585-99-9	C14H11NO2	342.11621	343.1234822	N/A	N/A	365.1054242	180.1666667	0.224317	341.1089302	50.4	173.2051			
Glycans	99336		Palatinose Hydrate	58166-27-1	C11H14Cl2N2O3	342.11621	343.1234822	N/A	N/A	365.1054242	176.3666667	0.142692	341.1089302	184.933	5.300678			
Glycans	92797		Sophorose	20429-79-2	C12H22O11	342.11621	343.1234822	176.33333	0.956268	365.1054242	181.7666667	0.412922	341.1089302	N/A	N/A			
Glycans	53384916		Sucrose	57-50-1	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	173	N/A	341.1089302	167.567	0.152753			
Glycans	7427	C01083	Trehalose	99-20-7	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	N/A	N/A	341.1089302	177.4	0.141421			
Glycans	7427	C01083	D-(+)-Trehalose Dihydrate	99-20-7	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	176.8666667	0.065286	341.1089302	178.067	0.319332			
Glycans	71317085		D-(+)-Turanose	547-25-1	C12H22O11	342.11621	343.1234822	N/A	N/A	365.1054242	176.4666667	0.279536	341.1089302	N/A	N/A			
Glycans	7427	C01083	Trehalose 6-Phosphate Dipotassium Salt	99-20-7	C12H22O11	422.08254	423.0898148	N/A	N/A	445.0717568	191.4	0.090494	421.0752628	180.567	0.084596			
Glycans	71299561		Cellotriose	33404-34-1	C18H32O16	504.16903	505.1763032	N/A	N/A	527.1582452	214.5333333	0.208167	503.1617512	207.267	0.665833			
Glycans	439668	C02160	Isomaltotriose	3371-50-4	C18H32O16	504.16903	505.1763032	N/A	N/A	527.1582452	209.7	0.1	503.1617512	201.833	0.450925			
Glycans	440080	C03661	1-Kestose	470-69-9  	C18H32O16	504.16903	505.1763032	N/A	N/A	527.1582452	204.4	0.382106	503.1617512	203.7	0.837443			
Glycans	439586	C01835	Maltotriose	1109-28-0	C18H32O16	504.16903	505.1763032	N/A	N/A	527.1582452	211.4	0.173205	503.1617512	211.867	1.011599			
Glycans	92817	C08243	Melezitose	597-12-6	C18H32O16	504.16903	505.1763032	N/A	N/A	527.1582452	N/A	N/A	503.1617512	N/A	N/A			
Glycans			D-(+)-Melezitose Hydrate	209-894-9	C18H34O17	504.16903	505.1763032	N/A	N/A	527.1582452	N/A	N/A	503.1617512	202.433	0.841718			
Glycans			D-(+)-Raffinose Pentahydrate	6227-50-5	C18H42O21	504.16903	505.1763032	N/A	N/A	527.1582452	208.9	0.248739	503.1617512	197.767	0.42406			
Glycans			Raffinose	6227-50-5	C18H32O16	504.16903	505.1763032	N/A	N/A	527.1582452	207.6	0.1	503.1617512	196.533	0.23094			
Glycans	71299560		Cellotetraose	38819-01-1	C24H42O21	666.22185	667.2291242	N/A	N/A	689.2110662	223.8	0.1	665.2145722	193.7	0.52915			
Glycans	446495		Maltotetraose	34612-38-9	C24H42O21	666.22185	667.2291242	N/A	N/A	689.2110662	229.2333333	0.208167	665.2145722	219.9	0.264575			
Glycans	3082008		Mannotetraose	633367	C24H42O21	666.22185	667.2291242	N/A	N/A	689.2110662	232.8666667	0.251661	665.2145722	222.067	0.251661			
Glycans	5174584		Lacto-N-Neotetraose (LNnT)	13007-32-4	C26H45NO21	707.2484	708.255672	N/A	N/A	730.237614	239.3	0.34641	706.24112	253.367	0.11547			
Glycans	4437003		Lacto-N-Tetraose (LNT)	14116-68-8	C26H45NO21	707.2484	708.255672	N/A	N/A	730.237614	237.9	0.43589	706.24112	239.6	0.264575			
Glycans			Cellopentaose	209-894-9	C30H52O26	828.27467	829.2819452	250.63333	0.083056	851.2638872	249.7	0.52915	827.2673932	245.967	0.152753			
Glycans			Maltopentaose	6227-50-5	C30H52O26	828.27467	829.2819452	N/A	N/A	851.2638872	N/A	N/A	827.2673932	255.867	0.2985			
Glycans			Maltopentaose	6227-50-5	C30H52O26	828.27467	829.2819452	N/A	N/A	851.2638872	255.6666667	0.152753	827.2673932	253.533	0.321455			
Glycans	13489094		Branch Mannopentaose	34620-76-3	C30H52O26	828.27467	829.2819452	N/A	N/A	851.2638872	258.9333333	0.493288	827.2673932	250.8	0.458258			
Glycans	13489094		Linear Mannopentaose	34620-76-3	C30H52O26	828.27467	829.2819452	N/A	N/A	851.2638872	248.7666667	0.208167	827.2673932	247.3	0.1			
Glycans	16219579		Lacto-N-Fucopentaose 1 (LNPF 1)	7578-25-8	C32H55NO25	853.3063	854.313578	N/A	N/A	876.29552	273.4333333	0.251661	852.299026	N/A	N/A			
Glycans	168012		Lacto-N-Fucopentaose 2 (LNPF2)	21973-23-9	C32H55NO25	853.3063	854.313578	N/A	N/A	876.29552	267.6	0.608276	852.299026	N/A	N/A			
Glycans	3586141		Lacto-N-Fucopentaose 3 (LNPF3)	25541-09-7	C32H55NO25	853.3063	854.313578	N/A	N/A	876.29552	266.3666667	0.814453	852.299026	276.1	1.216553			
Glycans			Cel6	N/A	N/A	1013.3	1014.307276	N/A	N/A	1036.289218	N/A	N/A	1012.292724	274.4	0.264575			
Glycans			Mal6	N/A	N/A	1013.3	1014.307276	N/A	N/A	1036.289218	278.2	0.264575	1012.292724	269.8	0.72111			
Glycans			Man6	N/A	N/A	1013.3	1014.307276	N/A	N/A	1036.289218	N/A	N/A	1012.292724	272.8	0.2			
Glycans	80600		Lacto-N-hexaose (LNH)	64003-51-6	C6H7ClN2O2	1072.3806	1073.387862	N/A	N/A	1095.369804	300.35	1.484924	1071.37331	N/A	N/A			
Glycans			Lacto-N-neohexaose (LNnH)	36824-93-8	N/A	1072.3806	1073.387862	N/A	N/A	1095.369804	295.9	1.30767	1071.37331	N/A	N/A			
Lipids			LPC 13:0	20559-17-5	N/A	453.28486	454.2928004	219.53333	0.105196	476.2746304	224.2	0.160819	452.2769204	N/A	N/A			
Lipids	151838		DG (12:0/12:0)	60562-15-4	C27H52O5	456.38079	457.3887302	N/A	N/A	479.3705602	N/A	N/A	455.3728502	210.667	0.027406			
Lipids	71774796		LPS (16:0/0:0)	143077-66-1	C22H43NNaO9P	497.27524	498.283179	221.6	0.135379	520.265009	227.4666667	0.091515	496.267299	221.533	0.248611			
Lipids	16081932		LPC 18:1	19420-56-5	C26H52NO7P	521.34746	522.3553972	234.33333	0.177667	544.3372272	236.0666667	0.088181	520.3395172	N/A	N/A			
Lipids	10100010		PC (11:0/11:0)	27869-47-2	C30H60NO8P	593.40497	594.412909	255.7	0.170469	616.394739	259.2	0.139103	592.397029	N/A	N/A			
Lipids	6411284		GalCer (d18:1/12:0)	111956-48-0	C36H69NO8	643.50163	644.5095674	269.7	0.570812	666.4913974	265.4	0.164239	642.4936874	260.633	0.84104			
Lipids	46891788		PS (14:0/14:0)	105405-50-3	C34H65NNaO10P	679.4423	680.4502352	N/A	N/A	702.4320652	246.5	0.637575	678.4343552	N/A	N/A			
Lipids			BMP (14:0/14:0)	325466-03-3	N/A	683.47305	684.480985	241.2	0.903586	706.462815	N/A	N/A	682.465105	260.6	0.167264			
Lipids	46891763		SM (d18:1/17:0)	121999-64-2	C40H81N2O6P	716.58253	717.5904696	288.56667	0.243402	739.5722996	290.3333333	0.850219	715.5745896	N/A	N/A			
Lipids			PC (16:1/16:1) (del9-cis)	4724-96-3	N/A	729.5376	730.545542	282.16667	0.163691	752.527372	285.3666667	0.202319	728.529662	N/A	N/A			
Lipids	44251425		PE (18:1/18:1) (del9-cis)	768593	C41H78NO8P	743.54581	744.5537518	282.13333	0.213648	766.5355818	289.2333333	0.13973	742.5378718	274.967	1.064244			
Lipids			PE (18:1/18:1) (del9-trans)	19805-18-6	N/A	743.53856	744.5465	282.5	0.569681	766.52833	287	0.125629	742.53062	183.367	0.115687			
Lipids			TG (14:0/16:1/14:0)	875584-25-1	N/A	748.65739	749.6653308	200.8	86.60306	771.6471608	199.9	86.60413	747.6494508	N/A	N/A			
