main_class	subclass	Catalog	Company	KEGG	PubChem CID	InChi	Neutral Name	cas	formula	mass	mPlusH	mPlusHCCS	mPlusHRsd	mPlusNa	mPlusNaCCS	mPlusNaRsd	mMinusH	mMinusHCCS	mMinusHRsd	mPlusDot	mPlusDotCCS	mPlusDotRsd	mPlusTwoH	mPlusTwoHCCS	mPlusTwoHRsd
Primary Metabolites	Amino Acids	A9256	Sigma-Aldrich	C00049	5960	CKLJMWTZIZZHCS-REOHCLBHSA-N	L-Aspartic Acid	56-84-8	C4H7NO4	133.0375062	134.0453308	N/A	N/A	156.0272762	N/A	N/A	132.0296816	120.71	0.26	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	69453	Sigma-Aldrich	C05330	91552	FFFHZYDWPBMWHY-VKHMYHEASA-N	Homocysteine	454-29-5	C4H9NO2S	135.03476	136.043222	130.5312267	0.193834003	158.0251674	N/A	N/A	134.0275728	159.6200855	0.181823515	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	G3126	Sigma-Aldrich	C00064	5961	ZDXPYRJPNDTMRX-UHFFFAOYSA-N	Glutamine	56-85-9	C5H10N2O3	146.069139	147.076415	133.4468151	0.189599057	169.058357	138.105054	0.921786941	145.061863	132.1063147	0.076103501	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	L5501	Sigma-Aldrich	C00047	5962	KDXKERNSBIXSRK-YFKPBYRVSA-N	L-Lysine	56-87-1	C6H14N2O2	146.1055224	147.113347	131.8	0.13	169.0952924	N/A	N/A	145.0976978	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	G1251	Sigma-Aldrich	C00025	33032	WHUUTDBJXJRKMK-VKHMYHEASA-N	L-Glutamic Acid	56-86-0	C5H9NO4	147.0531554	148.06098	134.59	0.05	170.0429254	N/A	N/A	146.0453308	125.64	0	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	M9625	Sigma-Aldrich	C00073	6137	FFEARJCKVFRZRR-BYPYZUCNSA-N	L-Methionine	63-68-3	C5H11NO2S	149.0510466	150.0588712	133.65	0.32	172.0408166	N/A	N/A	148.043222	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	H8000	Sigma-Aldrich	C00135	6274	HNDVDQJCIGZPNO-YFKPBYRVSA-N	L-Histidine	71-00-1	C6H9N3O2	155.069358	156.0771826	133.51	0.5	178.059128	134.85	0.46	154.0615334	130.13	0.13	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	sc-213046	Santa Cruz Biotechnology		6441567	WRUSVQOKJIDBLP-HWKANZROSA-N	Tiglyl Glycine	35842-45-6	C7H11NO3	157.0738896	158.0811656	N/A	N/A	180.0631076	146.6842566	0.068540096	156.0666136	142.9308555	0.177018392	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	M4017	Sigma-Aldrich	C01046	439377	XLBVNMSMFQMKEY-BYPYZUCNSA-N	N-Methyl-L-glutamate	35989-16-3	C6H11NO4	161.068146	162.076086	133.7149152	0.130229384	184.057916	N/A	N/A	160.060206	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	P2126	Sigma-Aldrich	C00079	6140	COLNVLDHVKWLRT-QMMMGPOBSA-N	L-Phenylalanine	63-91-2	C9H11NO2	165.0789746	166.0867992	141.0200	0.18	188.0687446	N/A	N/A	164.07115	140.9500	0.24	N/A	N/A	N/A	N/A	N/A	N/A
