main_class	subclass	Catalog	Company	KEGG	PubChem CID	InChi	Neutral Name	cas	formula	mass	mPlusH	mPlusHCCS	mPlusHRsd	mPlusNa	mPlusNaCCS	mPlusNaRsd	mMinusH	mMinusHCCS	mMinusHRsd	mPlusDot	mPlusDotCCS	mPlusDotRsd	mPlusTwoH	mPlusTwoHCCS	mPlusTwoHRsd
Primary Metabolites	Sugars	P7877	Sigma-Aldrich	C00345	91493	BIRSGZKFKXLSJQ-SQOUGZDYSA-N	6-Phosphogluconic Acid	921-62-0	C6H13O10P	341.969805	277.0324574	N/A	N/A	299.0144028	167.1637515	0.07	275.0168082	145.8799564	0.248487338	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	61345	Sigma-Aldrich	C00243	440995	GUBGYTABKSRVRQ-QKKXKWKRSA-N	D-Lactose	63-42-3	C12H22O11	342.1162062	343.1234828	N/A	N/A	365.1057	178.8333333	0.085416136	341.1068	170.2333333	0.289771854	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	C7252	Sigma-Aldrich	C00185	439178	GUBGYTABKSRVRQ-QRZGKKJRSA-N	Cellobiose	528-50-7	C12H22O11	342.1162062	343.1234822	N/A	N/A	365.1054242	178.6551912	0.173205081	341.1089302	167.864163	0.37859389	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	G3000	Sigma-Aldrich	C08240	441422	DLRVVLDZNNYCBX-LIZSDCNHSA-N	B-Gentiobiose	554-91-6	C12H22O11	342.1162062	343.1234822	N/A	N/A	365.1054242	180.5333333	0.031980259	341.1089302	180.8	0.431982836	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	I7253	Sigma-Aldrich	C00252	439193	DLRVVLDZNNYCBX-RTPHMHGBSA-N	Isomaltose	499-40-1	C12H22O11	342.1162062	343.1234822	N/A	N/A	365.1054242	178.0184535	0.152752523	341.1089302	180.7664793	0.147149684	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	L7877	Sigma-Aldrich	C07064	11333	JCQLYHFGKNRPGE-FCVZTGTOSA-N	Lactulose	4618-18-2	C12H22O11	342.1162062	343.1234822	N/A	N/A	365.1054242	180.1	0.03	341.1062	178.2333333	0.161315569	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	M1050	Sigma-Aldrich		11099946	HIWPGCMGAMJNRG-VXSGSMIHSA-N	2α-Mannobiose	15548-39-7	C12H22O11	342.1162062	343.1234822	N/A	N/A	365.1054242	174.8347651	0.957062506	341.1089302	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	M5885	Sigma-Aldrich	C00208	6255	GUBGYTABKSRVRQ-QUYVBRFLSA-N	D-Maltose	69-79-4	C12H22O11	342.1162062	343.1234822	N/A	N/A	365.1054242	179.1913914	0.152752523	341.1089302	205.9	0.463302186	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	50796	Sigma-Aldrich	C19633	3872	DXALOGXSFLZLLN-UHFFFAOYNA-N	Maltulose	17606-72-3	C12H22O11	342.1162062	343.1234822	N/A	N/A	365.1054242	181.269167	0.241758122	341.1089302	180.5989168	0.486373814	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	M5500	Sigma-Aldrich	C05402	440658	DLRVVLDZNNYCBX-ABXHMFFYSA-N	Melibiose	585-99-9	C12H22O11	342.1162062	343.1234822	N/A	N/A	365.1054242	181.135117	0.224317403	341.1089302	172.6333333	0.29725438	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	P2007	Sigma-Aldrich	C01742	439559	PVXPPJIGRGXGCY-TZLCEDOOSA-N	Palatinose	13718-94-0	C12H22O11	342.1162062	343.1234822	N/A	N/A	365.1054242	177.3146908	0.142692014	341.1089302	172.6	0.652921649	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	S1404	Sigma-Aldrich	C08250	92797	PZDOWFGHCNHPQD-VNNZMYODSA-N	Sophorose	20429-79-2	C12H22O11	342.1162062	343.1234822	N/A	N/A	365.1054242	183.5666667	0.08321365	341.1089302	187.0666667	0.222558731	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	S7903	Sigma-Aldrich	C00089	5988	CZMRCDWAGMRECN-UGDNZRGBSA-N	Sucrose	57-50-1	C12H22O11	342.1162062	343.1234822	N/A	N/A	365.1054242	173.9299273	0	341.1089302	168.4673882	0.152752523	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	T2754	Sigma-Aldrich	C19636	5460935	RULSWEULPANCDV-PIXUTMIVSA-N	D-(+)-Turanose	547-25-1	C12H22O11	342.1162062	343.1234822	N/A	N/A	365.1054242	177	0.11299435	341.1089302	178.9666667	0.170704999	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	T4272	Sigma-Aldrich	C00689	122336	LABSPYBHMPDTEL-LIZSDCNHSA-N	Trehalose 6-Phosphate	4484-88-2	C12H23O14P	422.0825388	423.0898148	N/A	N/A	445.0717568	192.4288329	0.090493773	421.0752628	181.5372671	0.084596192	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	C1167	Sigma-Aldrich	C06219	5287993	FYGDTMLNYKFZSV-ZWSAEMDYSA-N	Cellotriose	33404-34-1	C18H32O16	504.1690272	505.1763032	N/A	N/A	527.1582452	215.6865148	0.2081666	503.1617512	208.3807877	0.665832812	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	I0381	Sigma-Aldrich	C02160	439668	FBJQEBRMDXPWNX-FYHZSNTMSA-N	Isomaltotriose	3371-50-4	C18H32O16	504.1690272	505.1763032	N/A	N/A	527.1582452	210.8272009	0.1	503.1617512	202.9182485	0.450924975	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	72555	Sigma-Aldrich	C03661	440080	VAWYEUIPHLMNNF-OESPXIITSA-N	1-Kestose	470-69-9	C18H32O16	504.1690272	505.1763032	N/A	N/A	527.1582452	205.4316868	0.251661148	503.1617512	202.7841985	0.1	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	M8378	Sigma-Aldrich	C01835	439586	FYGDTMLNYKFZSV-PXXRMHSHSA-N	Maltotriose	1109-28-0	C18H32O16	504.1690272	505.1763032	N/A	N/A	527.1582452	212.5363389	0.173205081	503.1617512	213.005514	1.011599394	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	M5375	Sigma-Aldrich	C08243	92817	QWIZNVHXZXRPDR-WSCXOGSTSA-N	Melezitose	597-12-6	C18H32O16	504.1690272	505.1763032	N/A	N/A	527.1582452	203.2333333	0.056816494	503.1617512	203.5214737	0.84171763	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	R0514	Sigma-Aldrich	C00492	439242	MUPFEKGTMRGPLJ-ZQSKZDJDSA-N	Raffinose	512-69-6	C18H32O16	504.1690272	505.1763032	N/A	N/A	527.1582452	208.7159128	0.1	503.1617512	197.5897594	0.230940108	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	7508	Sigma-Aldrich	C00096	18396	MVMSCBBUIHUTGJ-GDJBGNAASA-N	GDP-D-mannose	3123-67-9	C16H25N5O16P2	605.077151	606.0844276	N/A	N/A	628.066921	N/A	N/A	604.0674	212.0333333	0.395527295	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	S4001	Sigma-Aldrich	C01613	439531	QZIYBXSHAGNOE-XNSRJBNMSA-N	Stachyose	470-55-3	C24H42O21	666.2218482	667.2291248	N/A	N/A	689.2084	236.4	0.146535601	665.2126	226.6666667	0.025471335	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	C8286	Sigma-Aldrich	C02013	439626	LUEWUZLMQUOBSB-YQGOCCRESA-N	Cellotetraose	38819-01-1	C24H42O21	666.2218482	667.2291242	N/A	N/A	689.2110662	225.0029927	0.1	665.2145722	194.7411961	0.529150262	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	283959	Sigma-Aldrich	C02052	446495	LUEWUZLMQUOBSB-ZLBHSGTGSA-N	Maltotetraose	34612-38-9	C24H42O21	666.2218482	667.2291242	N/A	N/A	689.2110662	230.4655318	0.2081666	665.2145722	221.082029	0.264575131	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	OM28986	Carbosynth		3082008	RNDXVZITNYDUMC-YLYXQHNGSA-N	Mannotetraose	3634-02-4	C24H42O21	666.2218482	667.2291242	N/A	N/A	689.2110662	234.1183954	0.251661148	665.2145722	223.2603421	0.251661148	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	L6543	Sigma-Aldrich	G00536	9831622	RBMYDHMFFAVMMM-UHFFFAOYSA-N	Lacto-N-Neotetraose (LNnT)	13007-32-4	C26H45NO21	707.248396	708.255672	N/A	N/A	730.237614	240.5863098	0.346410162	706.24112	254.7285891	0.115470054	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	L6770	Sigma-Aldrich	C06371	440993	AXQLFFDZXPOFPO-FSGZUBPKSA-N	Lacto-N-Tetraose (LNT)	14116-68-8	C26H45NO21	707.248396	708.255672	N/A	N/A	730.237614	239.1787844	0.435889894	706.24112	240.8879224	0.264575131	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	C8792	Sigma-Aldrich	C06218	440949	FTNIPWXXIGNQQF-XHCCAYEESA-N	Cellopentaose	2240-27-9	C30H52O26	828.2746692	829.2819452	N/A	N/A	851.2638872	251.042213	0.529150262	827.2673932	247.2888119	0.152752523	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	M8128	Sigma-Aldrich	G00343	13489094	FTNIPWXXIGNQQF-DWTFCAFKSA-N	Maltopentaose	34620-76-3	C30H52O26	828.2746692	829.2819452	N/A	N/A	851.2638872	257.0409523	0.152752523	827.2673932	254.8961516	0.321455025	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	M0925	Sigma-Aldrich		71308662	YPQGRSSAXDUGEC-LHCUGFEVSA-N	3-alpha,6-alpha-Mannopentaose	112828-69-0	C30H52O26	828.2746692	829.2819452	N/A	N/A	851.2638872	260.3251783	0.493288286	827.2673932	252.1481258	0.458257569	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars						1,4-beta-D-Mannopentaose	70281-35-5	C30H52O26	828.2746692	829.2819452	N/A	N/A	851.2638872	250.1038627	0.2081666	827.2673932	248.6293123	0.1	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	L5908	Sigma-Aldrich		16219579	FZIVHOUANIQOMU-YIHIYSSUSA-N	Lacto-N-Fucopentaose 1 (LNFP 1)	7578-25-8	C32H55NO25	853.306302	854.313578	N/A	N/A	876.29552	274.9031202	0.251661148	852.299026	275.8749829	0.264575131	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	L6401	Sigma-Aldrich	G00623	168012	DUKURNFHYQXCJG-JEOLMMCMSA-N	Lacto-N-Fucopentaose 2 (LNFP 2)	21973-23-9	C32H55NO25	853.306302	854.313578	N/A	N/A	876.29552	269.0384309	0.608276253	852.299026	274.2663825	0.2	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	L7777	Sigma-Aldrich	G01053	3586141	CMQZRJBJDCVIEY-JEOLMMCMSA-N	Lacto-N-Fucopentaose 3 (LNFP 3)	25541-09-7	C32H55NO25	853.306302	854.313578	N/A	N/A	876.29552	267.798468	0.814452782	852.299026	271.2502566	0.721110255	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	OC06512	Carbosynth	C06217	440948	OCIBBXPLUVYKCH-FYTDUCIRSA-N	Cellohexaose	2478-35-5	C36H62O31	990.3274902	990.3274902	N/A	N/A	1013.31726	283.13	0.14	989.3196656	286.2	0.98488578	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	OM31998	Carbosynth	G06241	71761996	DJMVHSOAUQHPSN-BDEBKWNZSA-N	Mannohexaose	70281-36-6	C36H62O31	990.3274902	991.3353148	N/A	N/A	1013.31726	281.7	0.556776436	989.3196656	277.2666667	0.152752523	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	M9153	Sigma-Aldrich	C01936	439606	OCIBBXPLUVYKCH-LIGGPISVSA-N	Maltohexaose	34620-77-4	C36H62O31	990.3274902	991.3353148	N/A	N/A	1013.31726	279.6954091	0.264575131	989.3196656	279.9666667	0.041244215	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	L6654	Sigma-Aldrich	G00993	92132303	ZDZMLVPSYYRJNI-AZTKGQMUSA-N	Lacto-N-hexaose(LNH)	64003-51-6	C40H68N2O31	1072.380586	1073.38841	N/A	N/A	1095.370356	301.6	0.494974747	1071.372761	317.6	0.519615242	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Sugars	L8408	Sigma-Aldrich	G00555	46878594	NPPRJALWPIXIHO-PNCMPRLYSA-N	Lacto-N-neohexaose (LNnH)	64309-00-8	C40H68N2O31	1072.380586	1073.38841	N/A	N/A	1095.370356	297.5666667	0.251661148	1071.372761	320.5	0.6	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	61609	Sigma-Aldrich	C02679	3893	POULHZVOKOAJMA-UHFFFAOYSA-N	Lauric Acid (C12:0)	143-07-7	C12H24O2	200.17706	201.185	N/A	N/A	223.1669	N/A	N/A	199.1704	154.9618466	0.099104146	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	91446	Sigma-Aldrich	C16537	13849	WQEPLUUGTLDZJY-UHFFFAOYSA-N	Pentadecylic Acid (C15:0)	1002-84-2	C15H30O2	242.22396	243.2319	N/A	N/A	265.2138	N/A	N/A	241.2173	165.5853123	0.105163983	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	76169	Sigma-Aldrich	C08362	445638	ZVRMGCSSSYZGSM-CCEZHUSRSA-N	Palmitoleic Acid (C16:1)	373-49-9	C16H30O2	254.22396	255.2319	N/A	N/A	277.2138	172.6229394	0.058241118	253.2173	167.864163	0.069157549	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	76169	Sigma-Aldrich	C00249	985	IPCSVZSSVZVIGE-UHFFFAOYSA-N	Palmitic Acid (C16:0)	57-10-3	C16H32O2	256.23966	257.2476	N/A	N/A	279.2295	185.2236097	0.13	255.233	169.1711509	0.034311625	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	H3500	Sigma-Aldrich		10465	KEMQGTRYUADPNZ-UHFFFAOYSA-N	Heptadecanoic Acid (C17:0)	506-12-7	C17H34O2	270.25526	271.2632	N/A	N/A	293.2451	N/A	N/A	269.2486	173.4942647	0.066913301	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	L2376	Sigma-Aldrich	C06427	5280934	DTOSIQBPPRVQHS-PDBXOOCHSA-N	Linlenic Acid (C18:3)	463-40-1	C18H30O2	278.22396	279.2319	N/A	N/A	301.2138	172.0197142	0	277.2173	174.5331525	0.057603687	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	L1376	Sigma-Aldrich	C01595	5280450	OYHQOLUKZRVURQ-HZJYTTRNSA-N	Linoleic Acid (C18:2)	60-33-3	C18H32O2	280.23966	281.2476	N/A	N/A	303.2295	176.3763405	0.131639811	279.233	175.3709652	0.087570718	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	O1008	Sigma-Aldrich	C00712	445639	ZQPPMHVWECSIRJ-KTKRTIGZSA-N	Oleic Acid (C18:1)	112-80-1	C18H34O2	282.25526	283.2632	N/A	N/A	305.2451	181.3697045	0.096011686	281.2486	176.0747279	0.032966327	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	85679	Sigma-Aldrich	C01530	5281	QIQXTHQIDYTFRH-UHFFFAOYSA-N	Stearic Acid (C18:0)	57-11-4	C18H36O2	284.27096	285.2789	N/A	N/A	307.2608	191.8256077	0.08	283.2643	177.9514285	0.149477475	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	A3611	Sigma-Aldrich	C00219	444899	YZXBAPSDXZZRGB-DOFZRALJSA-N	Arachidonic Acid (C20:4)	506-32-1	C20H32O2	304.23956	305.2475	N/A	N/A	327.2295	180.9675544	0.111111111	303.233	182.2075173	0.031856737	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	E4504	Sigma-Aldrich	C03242	5280581	HOBAELRKJCKHQD-QNEBEIHSSA-N	Bishomo-gamma-linolenic Acid (C20:3)	1783-84-2	C20H34O2	306.25526	307.2632	N/A	N/A	329.2451	183.3804551	0.2	305.2486	182.6431799	0.114587119	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	A3631	Sigma-Aldrich	C16525	6439848	XSXIVVZCUAHUJO-HZJYTTRNSA-N	Icosadienoic Acid (C20:2)	2091-39-6	C20H36O2	308.27086	309.2788	N/A	N/A	331.2608	184.0507053	0.031537706	307.2643	182.3750798	0.095482404	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	44878	Sigma-Aldrich	C16526	5282768	BITHHVVYSMSWAG-KTKRTIGZSA-N	Eicosenoic Acid (C20:1)	5561-99-9	C20H38O2	310.28656	311.2945	N/A	N/A	333.2764	188.5748942	0.06156214	309.2799	183.9501678	0.113772964	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	A3631	Sigma-Aldrich	C06425	10467	VKOBVWXKNCXXDE-UHFFFAOYSA-N	Arachidic Acid (C20:0)	506-30-9	C20H40O2	312.30226	313.3102	N/A	N/A	335.2921	199.9691476	0	311.2956	186.3630685	0.124585564	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	90310	Cayman Chemical	C06429	445580	MBMBGCFOFBJSGT-KUBAVDMBSA-N	Docosahexaenoic Acid	6217-54-5	C22H32O2	328.2395532	329.2448	184.620418	0.166366879	351.2293232	185.0560806	0.219564572	327.2316132	191.121845	0.319976987	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	90300	Cayman Chemical	C16527	5497181	TWSWSIQAPQLDBP-DOFZRALJSA-N	Adrenic Acid	28874-58-0	C22H36O2	332.2708516	334.2696	189.4127069	0.106157113	355.2606216	192.830983	0.601280636	331.2629116	190.9207699	0.879583628	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	L6641	Sigma-Aldrich	C08320	11197	QZZGJDVWLFXDLK-UHFFFAOYSA-N	Lignoceric Acid (C24:0)	557-59-5	C24H48O2	368.36486	369.3728	N/A	N/A	391.3547	216.8594527	0	367.3582	200.5723728	0.050125313	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	870850	Avanti Polar Lipids		168381	FUJLYHJROOYKRA-QGZVFWFLSA-N	Lauroyl-L-carnitine (C12-Carnitine)	25518-54-1	C19H37NO4	343.2715802	344.2927	201.4666667	0.124914534	366.2626	217.5	0.165772472	342.2643036	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	870851	Avanti Polar Lipids		11953816	XOMRRQXKHMYMOC-OAQYLSRUSA-N	Palmitoylcarnitine (C16-Carnitine)	1935-18-8	C23H45NO4	399.334177	400.3539	216.1	0.080150431	422.3256	230.3666667	0.066308431	398.3269004	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Fatty Acids	870852	Avanti Polar Lipids		46907933	IPOLTUVFXFHAHI-WHIOSMTNSA-N	Oleoylcarnitine (C18:1(Δ9-cis)-Carnitine)	13962-05-5	C25H47NO4	425.3498262	426.3692	218.7333333	0.069835046	448.3412	228.6	0.043744532	281.2478	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Steroids	12271	Sigma-Aldrich	C00204	194024	WPAMZTWLKIDIOP-WVZVXSGGSA-M	2-Keto-3-deoxy-D-gluconic acid	17510-99-5	C6H10O6	179.055606	180.062882	N/A	N/A	202.044824	N/A	N/A	178.04833	134.3181404	0.149700599	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Steroids	A-075	Sigma-Aldrich	C00280	6128	AEMFNILZOJDQLW-QAGGRKNESA-N	Androstenedione	63-05-8	C19H26O2	286.1932696	287.2005456	183.9501678	0.395382299	309.1824876	204.7279241	0.76130404	285.1859936	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Steroids	T1500	Sigma-Aldrich	C00535	5408	MUMGGOZAMZWBJJ-DYKIIFRCSA-N	Testosterone	58-22-0	C19H28O2	288.2089188	289.2161948	183.8161178	0.258476698	311.1981368	206.0684245	0.673091627	287.2016428	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Steroids	73532	Sigma-Aldrich	C05299	440624	WHEUWNKSCXYKBU-QPWUGHHJSA-N	2-Methoxyestrone	362-08-3	C19H24O3	300.1725354	301.1798114	174.4661275	0.088024888	323.1617534	201.7117981	0.115105553	299.1652594	184.553393	0.913727665	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Steroids	P0130	Sigma-Aldrich	C00410	5994	RJKFOVLPORLFTN-LEKSSAKUSA-N	Progesterone	57-83-0	C21H30O2	314.223904	315.23118	186.7317061	0.350309068	337.213122	169.0333333	0.034156001	313.216628	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Steroids	147664	Sigma-Aldrich	C01953	8955	ORNBQBCIOKFOEO-QGVNFLHTSA-N	Pregnenolone	145-13-1	C21H32O2	316.2402172	317.2474932	177.2476658	0.558641963	339.2294352	216.15569	0.458086409	315.2329412	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Steroids	H5752	Sigma-Aldrich	C01176	6238	DBPWSSGDRRHUNT-CEGNMAFCSA-N	17α-Hydroxyprogesterone	68-96-2	C21H30O3	330.2193676	331.2266436	187.5695189	0.468298818	353.2085856	210.2574882	0.683512325	329.2120916	187.6365439	0.688955225	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Steroids	H5002	Sigma-Aldrich	C05138	440573	JERGUCIJOXJXHF-TVWVXWENSA-N	17α-Hydroxypregnenolone	387-79-1	C21H32O3	332.2350168	333.2429568	190.4515948	0.72828443	355.2242348	210.4920758	0.887588592	331.2277408	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Steroids			C05485	247020	MOIQRAOBRXUWGN-WPWXJNKXSA-N	2,1-Hydroxypregnenolone	1164-98-3	C21H32O3	332.2351322	333.2424082	190.5186198	0.686015831	355.2243502	210.6261258	0.929256436	331.2278562	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Steroids	A9477	Sigma-Aldrich	C01780	5839	PQSUYGKTWSAVDQ-SRPWZAMTSA-N	Aldosterone	52-39-1	C21H28O5	360.1936638	361.2009398	196.0481839	0.135679554	383.1828818	204.0911864	0.049261084	359.1863878	188.3067941	0.141257411	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Steroids	C-106	Sigma-Aldrich	C00735	5754	JYGXADMDTFJGBT-VWUMJDOOSA-N	Cortisol	50-23-7	C21H30O5	362.209313	363.2171376	188.8765068	0.081309008	385.199083	213.9103518	0.071793447	361.2014884	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Steroids				246164	FFPUNPBUZDTHJI-ZFOKFBPFSA-N	B-Cortol	667-65-2	C21H36O5	368.2562606	369.2635366	N/A	N/A	391.2454786	204.593874	0.098280098	367.2489846	202.6501484	0.358897543	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Lipids	P6354	Sigma-Aldrich	C00670	439285	SUHOQUVVVLNYQR-MRVPVSSYSA-O	sn-Glycero-3-phosphocholine	28319-77-9	C8H20NO6P	257.102819	258.1089	157.1666667	0.146939623	280.0912	161.8	0.107048876	256.0955424	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Lipids	L1876	Sigma-Aldrich		5284421	WTTJVINHCBCLGX-NQLNTKRDSA-N	Methyl Linoleate	112-63-0	C19H34O2	294.2558664	295.2631424	187.2008813	0.193638629	317.2450844	N/A	N/A	293.2485904	183.1793801	0.095063162	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Lipids	38600	Cayman Chemical	C14762	6443013	HNICUWMFWZBIFP-IRQZEAMPSA-N	13-HODE	73804-64-5	C18H32O3	296.2351322	297.2424082	N/A	N/A	319.2243502	191.8256077	0.685361469	295.2278562	183.1123551	0.518940223	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Lipids	38400	Cayman Chemical	C14767	5282944	NPDSHTNEKLQQIJ-SIGMCMEVSA-N	9-HODE	98524-19-7	C18H32O3	296.2351322	297.2429568	N/A	N/A	319.2249022	189.1446069	0.452067712	295.2273076	180.6324293	0.085019957	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Lipids	34230	Cayman Chemical	C04805	5280733	KGIJOOYOSFUGPC-JGKLHWIESA-N	5S-HETE	70608-72-9	C20H32O3	320.2344682	321.2417442	N/A	N/A	343.2236862	188.2062566	0.47479671	319.2271922	187.2008813	0.053705693	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Lipids	34570	Cayman Chemical	C14777	5283155	ZNHVWPKMFKADKW-LQWMCKPYSA-N	12S-HETE	54397-83-0	C20H32O3	320.2344682	321.2417442	N/A	N/A	343.2236862	193.3336706	0.42565537	319.2271922	184.8214931	0.571385358	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Lipids	50511	Cayman Chemical	C14770	5283204	DXOYQVHGIODESM-KROJNAHFSA-N	11(12)-EET	81276-02-0	C20H32O3	320.2351322	321.2424082	N/A	N/A	343.2243502	187.8666667	0.1108055	319.2278562	185	0.194894664	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Lipids	50351	Cayman Chemical	C14769	5283203	DBWQSCSXHFNTMO-TYAUOURKSA-N	8(9)-EET	81246-85-7	C20H32O3	320.2351322	321.2424088	N/A	N/A	343.225	186.8333333	0.030901888	319.2253	184.6333333	0.031270099	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Lipids	34560	Cayman Chemical	C14822	5283156	ZNHVWPKMFKADKW-ZYBDYUKJSA-N	12R-HETE	82337-46-0	C20H32O3	320.2351322	321.2424088	N/A	N/A	343.2263	194.4	0	319.2257	184.1	0.094082065	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Lipids	34360	Cayman Chemical	C14776	5283154	NLUNAYAEIJYXRB-VYOQERLCSA-N	8S-HETE	98462-03-4	C20H32O3	320.2351322	321.2424082	N/A	N/A	343.2243502	187.1666667	0.030846853	319.2278562	185.0666667	0.13598405	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Lipids	50651	Cayman Chemical	C14771	5283205	JBSCUHKPLGKXKH-ILYOTBPNSA-N	14(15)-EET	81276-03-1	C20H32O3	320.2351322	321.2435	182.4333333	0.228211146	343.2271	187.0666667	0.123453372	319.2256	187.6	0.092326802	N/A	N/A	N/A	N/A	N/A	N/A
